County,Year,Gender,Level,Enrollment
Kilifi,2016,male,SECONDARY,
Wajir,2014,Male,S,7179.0
Kericho,2010,male,Secondary,1560.0
Kajiado,2011,F,Primary,1266.0
Siaya,2015,Female,P,3638.0
Kilifi,2020,FEMALE,P,8941.0
Kirinyaga,2022,Female,P,3427.0
Nyeri,2017,Male,Primary,4780.0
Nakuru,2015,Female,primary,1927.0
Samburu,2016,F,Primary,2356.0
Laikipia,2014,Female,Primary,4790.0
Uasin Gishu,2017,M,Secondary,306.0
Kakamega,2020,M,SECONDARY,7979.0
Migori,2022,Male,Secondary,3665.0
West Pokot,2021,M,Secondary,7057.0
West Pokot,2020,Male,Secondary,661.0
Isiolo,2014,F,primary,4644.0
West Pokot,2013,Male,SECONDARY,8503.0
Vihiga,2010,FEMALE,SECONDARY,2920.0
Turkana,2017,Female,SECONDARY,9274.0
Isiolo,2019,male,S,8946.0
West Pokot,2018,FEMALE,primary,6236.0
Kirinyaga,2017,male,Secondary,6078.0
Machakos,2019,M,SECONDARY,352.0
Nairobi,2010,FEMALE,Primary,9094.0
Laikipia,2014,F,Secondary,7005.0
Marsabit,2021,Male,SECONDARY,158.0
Wajir,2014,F,P,
Meru,2012,F,SECONDARY,2071.0
West Pokot,2010,FEMALE,Primary,8595.0
Garissa,2011,male,primary,9579.0
Busia,2016,male,SECONDARY,3453.0
Embu,2012,M,P,6675.0
Makueni,2011,F,S,955.0
West Pokot,2021,FEMALE,P,
Kitui,2022,F,SECONDARY,1712.0
Bungoma,2022,Male,P,4703.0
Migori,2022,male,primary,6563.0
Kakamega,2015,Female,SECONDARY,9465.0
Lamu,2014,F,S,
Kakamega,2012,male,S,9633.0
Trans Nzoia,2014,Male,SECONDARY,9989.0
Kericho,2021,male,primary,1394.0
Siaya,2012,Female,Primary,9461.0
Uasin Gishu,2013,Female,primary,4732.0
Mombasa,2012,Male,primary,3714.0
Trans Nzoia,2014,FEMALE,primary,529.0
Garissa,2011,Male,Primary,2958.0
Kilifi,2012,Female,SECONDARY,7904.0
Bungoma,2022,M,P,3591.0
Kakamega,2017,Male,SECONDARY,6895.0
Homa Bay,2013,F,primary,9131.0
Turkana,2020,F,primary,525.0
Uasin Gishu,2018,Female,Secondary,6477.0
Lamu,2022,F,primary,1.0
Turkana,2011,Male,primary,374.0
Meru,2015,Male,P,4648.0
Murang'a,2010,F,Secondary,2365.0
Kiambu,2016,Male,SECONDARY,1525.0
Tana River,2014,F,S,1646.0
Kisumu,2014,F,Primary,13.0
Samburu,2013,Female,Primary,4599.0
Kitui,2020,F,SECONDARY,2278.0
Garissa,2012,M,Primary,
Kilifi,2016,F,SECONDARY,8321.0
Kisumu,2021,male,S,3814.0
Samburu,2013,M,primary,3216.0
Bungoma,2013,male,Primary,8219.0
 ,2017,male,primary,2113.0
Kisumu,2013,F,Primary,9444.0
Isiolo,2010,M,primary,4356.0
Kisumu,2013,M,Primary,5543.0
Nyeri,2018,F,P,4555.0
Kakamega,2015,F,Secondary,7062.0
Kitui,2017,male,primary,3374.0
Kiambu,2018,F,SECONDARY,6430.0
Nairobi,two thousand twelve,male,Primary,3466.0
Migori,2021,M,Primary,3081.0
Mandera,2010,male,Secondary,629.0
Mandera,2012,Male,SECONDARY,269.0
Kericho,2022,FEMALE,Secondary,5724.0
Nyandarua,2016,F,primary,5897.0
Homa Bay,2010,FEMALE,Primary,
Murang'a,2012,FEMALE,S,9472.0
Isiolo,2011,Female,S,6276.0
Isiolo,2016,FEMALE,Primary,5895.0
Kiambu,2014,male,SECONDARY,7115.0
Marsabit,2011,F,Secondary,6656.0
Taita Taveta,2011,Female,Secondary,575.0
Tharaka-Nithi,2019,M,SECONDARY,7029.0
Taita Taveta,2014,F,SECONDARY,6099.0
Kericho,2022,FEMALE,Primary,9499.0
Isiolo,2021,Male,Primary,3192.0
Marsabit,2011,M,S,3178.0
Bomet,2022,Female,P,6052.0
Makueni,2016,Female,primary,2734.0
Kajiado,2016,F,S,6116.0
Tharaka-Nithi,2017,male,primary,3568.0
Kericho,2012,M,SECONDARY,9847.0
Mombasa,2022,F,SECONDARY,9771.0
Nyeri,2014,Female,Secondary,2203.0
Kirinyaga,2013,Female,P,1390.0
Uasin Gishu,2019,FEMALE,primary,1742.0
Narok,2012,male,primary,1925.0
Bomet,2011,FEMALE,S,619.0
Taita Taveta,2010,Female,Primary,1274.0
Tharaka-Nithi,2022,Female,S,956.0
Makueni,2017,M,Primary,1939.0
Migori,2021,F,SECONDARY,3953.0
Migori,2020,Female,primary,968.0
Isiolo,2014,Female,SECONDARY,9508.0
Garissa,2011,F,Primary,9235.0
Kitui,2014,Female,SECONDARY,281.0
Nyandarua,2021,F,Secondary,6262.0
Kitui,2014,Female,P,1058.0
Meru,2020,Male,Secondary,4293.0
Mombasa,2017,FEMALE,Secondary,5178.0
Turkana,2012,M,Primary,6980.0
Tana River,2014,M,Secondary,9200.0
Kitui,2013,male,Primary,1229.0
 ,2022,Male,Primary,9227.0
Kilifi,two thousand twelve,M,S,4585.0
Mombasa,2010,M,primary,8467.0
Murang'a,2020,Male,P,2740.0
Nyandarua,2022,FEMALE,Primary,2289.0
Marsabit,2015,F,Secondary,1239.0
Kajiado,2012,FEMALE,primary,5370.0
Bomet,2014,male,S,125.0
West Pokot,2018,male,P,7473.0
Machakos,2021,Male,P,9400.0
Migori,2013,Male,SECONDARY,5342.0
Nakuru,2022,male,SECONDARY,7351.0
Murang'a,2011,FEMALE,primary,6638.0
 ,2021,male,SECONDARY,6570.0
Siaya,2012,Male,SECONDARY,3249.0
Nairobi,2017,Male,SECONDARY,9110.0
Isiolo,2014,M,S,7595.0
Busia,2011,F,Secondary,6294.0
Kajiado,2012,M,Primary,6527.0
Bomet,2012,male,Primary,5757.0
Kitui,2011,Male,P,1969.0
Machakos,2015,male,S,891.0
Mombasa,2022,Female,P,4470.0
Elgeyo Marakwet,2014,M,P,7175.0
Murang'a,2016,F,S,9556.0
Mandera,2017,Female,primary,8320.0
Tharaka-Nithi,2013,Female,P,9206.0
Kitui,2011,M,P,9991.0
Mombasa,2014,male,Primary,6812.0
Kitui,2020,F,P,7519.0
Embu,2019,Female,S,4612.0
Homa Bay,2013,M,Primary,9710.0
Kirinyaga,2020,Male,Secondary,
Elgeyo Marakwet,2021,Male,Secondary,5238.0
Nakuru,2021,Male,P,6089.0
Nakuru,2014,male,Secondary,6257.0
Samburu,2012,Female,SECONDARY,7705.0
Kajiado,2019,F,P,3719.0
Tana River,2012,Male,primary,302.0
Wajir,2014,FEMALE,P,986.0
Machakos,2013,FEMALE,primary,4440.0
Mombasa,2021,FEMALE,P,4909.0
Kakamega,2020,FEMALE,S,3072.0
Elgeyo Marakwet,2020,F,P,3124.0
Homa Bay,2013,Female,SECONDARY,9519.0
Siaya,2012,M,S,8125.0
Taita Taveta,2018,M,P,
Garissa,2019,F,primary,4033.0
Marsabit,2018,male,SECONDARY,5105.0
Elgeyo Marakwet,2019,F,P,703.0
Embu,2017,M,Secondary,8133.0
Bungoma,2012,Female,Secondary,574.0
Nyeri,2019,Male,S,5704.0
Kericho,2017,M,SECONDARY,7848.0
Busia,two thousand twelve,F,S,5208.0
Machakos,2018,FEMALE,primary,6924.0
Bomet,2020,M,S,3828.0
Migori,2010,Female,P,3230.0
Kajiado,2013,FEMALE,P,488.0
Kitui,2016,FEMALE,P,7114.0
Kisumu,2019,F,primary,9539.0
Tharaka-Nithi,2013,Male,Primary,3173.0
Machakos,2010,Male,primary,1667.0
Makueni,2010,Male,Secondary,9829.0
Kericho,2013,M,Primary,4114.0
Murang'a,2013,M,Secondary,3553.0
Nairobi,2014,FEMALE,S,7761.0
West Pokot,2014,M,P,1000.0
Embu,2010,Male,S,9042.0
Kilifi,2013,FEMALE,SECONDARY,1388.0
West Pokot,2018,FEMALE,SECONDARY,5450.0
Isiolo,2014,Female,primary,3712.0
Garissa,2016,M,primary,1367.0
Tana River,2012,FEMALE,Secondary,8189.0
Busia,2011,M,S,9013.0
West Pokot,2013,M,SECONDARY,454.0
Isiolo,2016,FEMALE,SECONDARY,9816.0
Bungoma,2010,Male,Primary,2772.0
Narok,2019,male,Primary,3726.0
Garissa,2018,FEMALE,Secondary,7232.0
Nakuru,2021,F,S,4806.0
Elgeyo Marakwet,2014,FEMALE,Secondary,2190.0
Garissa,2020,Female,SECONDARY,9108.0
Elgeyo Marakwet,2019,M,primary,2875.0
Elgeyo Marakwet,2016,male,Primary,5592.0
Taita Taveta,2011,FEMALE,SECONDARY,1440.0
Narok,2019,male,SECONDARY,8927.0
Garissa,2011,FEMALE,S,6059.0
Narok,2022,Male,Primary,
Machakos,2014,FEMALE,primary,7117.0
Lamu,2014,male,P,9153.0
Isiolo,2015,FEMALE,Primary,2989.0
Elgeyo Marakwet,2010,male,primary,9218.0
Kirinyaga,2014,M,Primary,6228.0
Kitui,2010,Female,P,6471.0
Tana River,2015,Female,Secondary,2863.0
Kilifi,2012,Male,Primary,1177.0
Samburu,2019,Female,SECONDARY,4760.0
Kilifi,2013,M,Secondary,11.0
Tharaka-Nithi,2018,Female,S,
Elgeyo Marakwet,2014,FEMALE,SECONDARY,4399.0
Elgeyo Marakwet,2013,F,Primary,8234.0
Busia,2020,Female,Primary,9135.0
West Pokot,2020,Female,Primary,5445.0
Bungoma,2012,M,SECONDARY,6570.0
Garissa,2020,Female,P,9196.0
Lamu,2011,Female,Primary,8212.0
Kiambu,2012,FEMALE,Primary,406.0
Kisumu,2013,Male,Primary,9206.0
Mombasa,2017,male,Secondary,4431.0
Trans Nzoia,2017,FEMALE,P,5243.0
Vihiga,2014,male,P,6542.0
Murang'a,2012,M,P,
Bomet,2013,Male,SECONDARY,8906.0
Homa Bay,2013,Male,Secondary,4146.0
Laikipia,2022,Female,Secondary,140.0
Kilifi,2011,FEMALE,P,4882.0
Homa Bay,2021,F,Primary,6012.0
Vihiga,2018,M,primary,963.0
Samburu,2013,Female,Secondary,7151.0
Vihiga,2019,Male,S,8564.0
Kericho,2012,male,S,3610.0
Turkana,2021,Male,S,9884.0
Mandera,2016,M,SECONDARY,6894.0
Wajir,2022,F,primary,7311.0
Kilifi,2014,male,SECONDARY,105.0
Uasin Gishu,2019,M,primary,5539.0
Homa Bay,2013,M,P,9873.0
Nyeri,2022,F,S,6787.0
Uasin Gishu,2016,F,Secondary,
Laikipia,2011,FEMALE,P,4445.0
Siaya,2010,male,P,3530.0
Marsabit,2021,Female,P,1286.0
Lamu,2017,FEMALE,Primary,7052.0
Migori,2022,Male,Secondary,3654.0
Taita Taveta,2016,M,Secondary,7102.0
Kericho,2016,male,S,2359.0
Mombasa,2016,F,SECONDARY,8105.0
Nairobi,2016,Male,P,8636.0
Taita Taveta,2014,M,Primary,6441.0
Lamu,2010,FEMALE,Secondary,5047.0
Garissa,2020,F,Secondary,8227.0
Kiambu,2012,M,primary,5203.0
Kisumu,2015,Male,P,9667.0
Kajiado,2017,FEMALE,Secondary,1798.0
Tana River,2017,Female,SECONDARY,9600.0
Marsabit,2021,M,Primary,5291.0
Mombasa,2018,F,Secondary,5495.0
Marsabit,2019,Male,Secondary,9900.0
Vihiga,2020,FEMALE,primary,6284.0
Garissa,2014,M,S,7285.0
Mandera,2010,Female,S,1300.0
Kericho,2021,Female,P,6869.0
Kakamega,2021,Female,Primary,9435.0
Kakamega,2022,male,primary,3097.0
Kitui,2014,Female,S,4616.0
Tharaka-Nithi,2012,male,primary,9.0
Vihiga,2020,male,primary,5752.0
Mandera,2011,F,SECONDARY,9852.0
Laikipia,2019,M,primary,6295.0
Laikipia,2021,FEMALE,Primary,4815.0
Narok,2017,M,P,1072.0
Samburu,2013,M,Primary,3225.0
Kajiado,2012,M,SECONDARY,1316.0
Nyeri,2017,FEMALE,S,5699.0
Machakos,2011,F,Primary,6807.0
Kiambu,2022,Female,Primary,6674.0
Nyeri,2020,male,S,3683.0
Kakamega,2013,M,Secondary,7227.0
Wajir,2012,M,Primary,3273.0
Nairobi,2016,Female,P,7000.0
Trans Nzoia,2018,FEMALE,Secondary,145.0
Kitui,2019,Male,SECONDARY,5010.0
Bungoma,2012,M,Secondary,3040.0
Turkana,2018,Male,SECONDARY,9654.0
Mandera,2013,M,S,9776.0
Laikipia,2013,F,primary,482.0
Kitui,2018,male,Secondary,3179.0
Mandera,2013,FEMALE,P,1249.0
Kirinyaga,2017,Female,SECONDARY,630.0
Kilifi,2013,male,S,
Murang'a,2022,FEMALE,Secondary,2852.0
Uasin Gishu,2014,F,Primary,987.0
Kiambu,2021,Female,Secondary,7622.0
Nairobi,2010,FEMALE,P,7327.0
Murang'a,2011,FEMALE,primary,9738.0
Garissa,2013,M,Secondary,8841.0
Kiambu,2013,Male,Primary,9160.0
Elgeyo Marakwet,2019,Female,S,1100.0
Kakamega,2011,M,S,6652.0
Kiambu,2013,male,S,8632.0
Wajir,2017,Male,Secondary,
 ,2022,M,primary,5016.0
Samburu,2013,Female,Secondary,769.0
Elgeyo Marakwet,2010,F,Primary,1343.0
Migori,2020,FEMALE,S,4358.0
Tana River,2015,M,SECONDARY,9769.0
Murang'a,2013,M,P,6780.0
Meru,2019,Female,Primary,6602.0
 ,2022,M,primary,2349.0
Machakos,2015,F,S,5699.0
Bomet,2019,FEMALE,Secondary,1241.0
Elgeyo Marakwet,2019,Female,Primary,1125.0
Nyandarua,2019,Female,primary,9382.0
Homa Bay,2013,M,Secondary,6764.0
Wajir,2021,Male,P,5101.0
Garissa,2022,Female,S,7843.0
West Pokot,2012,Female,primary,72.0
Tharaka-Nithi,2018,Male,S,5472.0
Taita Taveta,2014,Female,SECONDARY,5189.0
Kirinyaga,2010,Female,Secondary,2472.0
Uasin Gishu,2021,F,Primary,707.0
Makueni,2017,Male,S,1804.0
Tana River,2019,F,Secondary,6704.0
Kiambu,2014,male,Primary,3713.0
Elgeyo Marakwet,2020,F,P,5051.0
Kericho,2019,F,Primary,2475.0
Kisumu,2022,Female,Secondary,3610.0
Narok,2014,F,primary,4255.0
Kisumu,2017,male,Primary,
Nairobi,2016,Male,Secondary,1735.0
Homa Bay,2014,F,S,9777.0
Isiolo,2018,F,S,8258.0
Nakuru,2016,Male,Primary,7979.0
Embu,2011,F,Secondary,2428.0
Kiambu,2020,F,primary,7426.0
Homa Bay,2020,FEMALE,S,8533.0
Samburu,2016,F,S,5249.0
Trans Nzoia,2015,Female,S,5291.0
Taita Taveta,2012,male,primary,2817.0
Nyandarua,2016,FEMALE,primary,9424.0
Kitui,2013,Male,S,3874.0
Meru,2013,F,P,9686.0
Nairobi,2016,Male,Primary,4211.0
Nairobi,2014,male,Primary,661.0
Taita Taveta,2021,Male,SECONDARY,3374.0
Bungoma,2019,F,S,9208.0
Murang'a,2013,Female,primary,207.0
Mombasa,2022,M,Primary,2665.0
West Pokot,2021,male,primary,2493.0
Garissa,2015,FEMALE,SECONDARY,6813.0
Vihiga,2014,male,SECONDARY,632.0
Wajir,2011,F,P,3083.0
Migori,2010,FEMALE,P,3719.0
Kitui,2018,M,Primary,7123.0
Kitui,2019,F,S,1679.0
Mombasa,2022,Female,primary,236.0
Makueni,2016,M,P,7446.0
Marsabit,2017,Male,Primary,4443.0
Trans Nzoia,2015,Female,P,6770.0
Kisumu,2018,Male,Primary,9732.0
Elgeyo Marakwet,2017,FEMALE,primary,
Laikipia,2020,Female,SECONDARY,8555.0
Mombasa,2017,Female,S,2368.0
Homa Bay,2010,Female,Primary,285.0
Kakamega,2016,Female,primary,148.0
Kisumu,2019,male,P,4037.0
Kajiado,2018,M,P,6549.0
Kajiado,2011,M,P,7121.0
Bungoma,2020,FEMALE,S,9958.0
Nyeri,2013,male,P,4895.0
Murang'a,2021,M,P,5280.0
Samburu,2017,Male,P,1012.0
Elgeyo Marakwet,2020,Female,P,9715.0
Laikipia,2021,Female,SECONDARY,2785.0
Narok,2010,F,Primary,3725.0
Kajiado,2011,FEMALE,primary,
Kisumu,2011,Female,SECONDARY,5782.0
Bungoma,2013,Male,S,6257.0
Nakuru,2011,F,SECONDARY,9793.0
Meru,2022,Female,Secondary,2408.0
Isiolo,2015,FEMALE,Primary,340.0
Kitui,2010,F,P,2817.0
Embu,2022,male,SECONDARY,
 ,two thousand twelve,male,SECONDARY,5962.0
Migori,2022,FEMALE,P,
West Pokot,2010,FEMALE,S,9917.0
Homa Bay,2012,Female,S,7574.0
Garissa,2010,FEMALE,Primary,
Marsabit,2020,FEMALE,Primary,3267.0
Lamu,2021,male,P,4406.0
Bungoma,2012,male,SECONDARY,8453.0
Siaya,2012,Male,Primary,1442.0
Homa Bay,2015,male,P,8597.0
Kiambu,2019,FEMALE,P,4437.0
Kirinyaga,2011,FEMALE,primary,5435.0
Laikipia,2013,Male,P,8435.0
Uasin Gishu,2010,M,primary,4107.0
Kajiado,2014,F,Primary,560.0
Nyeri,2020,male,P,8785.0
Narok,2010,F,SECONDARY,5548.0
Kilifi,2020,FEMALE,primary,1826.0
Meru,2017,M,S,
Garissa,2019,FEMALE,S,
Bomet,2011,M,Primary,3138.0
Laikipia,2019,Male,Secondary,7693.0
Isiolo,2015,male,S,8264.0
Marsabit,2017,M,Secondary,7842.0
Nairobi,2014,M,P,6721.0
Lamu,2014,F,S,7002.0
Kericho,2012,Male,P,4225.0
Kakamega,2019,Female,primary,2978.0
Samburu,2010,Female,SECONDARY,7373.0
Kajiado,2012,M,P,5907.0
Kakamega,2017,FEMALE,P,6097.0
Kilifi,2017,male,primary,5656.0
Migori,2013,male,Secondary,8984.0
Machakos,2014,FEMALE,primary,4259.0
West Pokot,2011,male,Secondary,8286.0
Siaya,2012,F,SECONDARY,5901.0
Kajiado,2022,Female,SECONDARY,9325.0
Busia,2017,F,S,4917.0
Homa Bay,2015,Male,SECONDARY,8429.0
Bomet,2013,Male,P,2530.0
Embu,2022,male,P,1960.0
Mandera,2015,F,Secondary,7045.0
Nairobi,2013,Female,Primary,1048.0
Vihiga,2015,F,Secondary,5772.0
Nyeri,2015,FEMALE,Secondary,
Kericho,2019,Male,S,2964.0
Samburu,2021,M,Secondary,7137.0
Kajiado,2016,Male,SECONDARY,963.0
Tharaka-Nithi,2010,male,SECONDARY,536.0
Nakuru,2018,Female,SECONDARY,7340.0
Siaya,2014,male,SECONDARY,7179.0
Nairobi,2014,M,P,7967.0
Kericho,2022,FEMALE,S,8734.0
Embu,2015,male,Primary,845.0
Isiolo,2014,FEMALE,primary,5777.0
Siaya,2017,M,Primary,3036.0
Lamu,2019,Female,primary,5947.0
Kitui,2014,male,Secondary,2494.0
Nyandarua,2012,FEMALE,P,
Siaya,2014,Female,S,
Machakos,2021,M,SECONDARY,4349.0
Embu,2016,FEMALE,P,5179.0
Marsabit,2011,Female,primary,6610.0
Wajir,2019,male,SECONDARY,6430.0
Siaya,2014,M,Primary,7154.0
Kakamega,2015,F,Primary,
Marsabit,2021,M,S,4737.0
Uasin Gishu,2012,F,Secondary,6525.0
Kisumu,2022,M,SECONDARY,3850.0
Marsabit,2015,Female,S,689.0
Elgeyo Marakwet,2014,F,S,5175.0
Homa Bay,2010,Female,P,8648.0
Samburu,2019,Female,primary,5078.0
Nyandarua,2016,Male,P,5448.0
Turkana,2010,male,SECONDARY,1179.0
Migori,2017,FEMALE,S,9074.0
Kajiado,2012,M,S,6406.0
Uasin Gishu,2010,Female,Secondary,8591.0
Tharaka-Nithi,2018,M,S,6907.0
Narok,2020,M,Secondary,8800.0
 ,2022,F,Secondary,1638.0
Narok,2017,Female,S,5671.0
Laikipia,2019,FEMALE,Primary,6928.0
Kitui,2021,FEMALE,SECONDARY,1382.0
Wajir,2012,F,SECONDARY,1403.0
Turkana,2017,Female,P,9011.0
Nakuru,2019,Female,Secondary,3292.0
Kajiado,2017,F,Secondary,9011.0
Mombasa,2019,male,Secondary,419.0
Wajir,2015,Female,Primary,4517.0
Nyeri,2017,Female,Primary,
Bungoma,2017,M,Secondary,7857.0
Vihiga,2021,Female,S,9700.0
Kakamega,2010,M,S,7870.0
West Pokot,2014,Male,S,5693.0
Meru,2022,Male,Primary,767.0
Trans Nzoia,2018,F,SECONDARY,2044.0
Turkana,2018,F,Primary,
Kilifi,2021,M,Secondary,9956.0
Bomet,2022,FEMALE,S,6140.0
Migori,2015,M,S,
Makueni,2021,F,Primary,4481.0
Meru,2022,male,Secondary,7898.0
Murang'a,2014,male,P,6548.0
Machakos,2010,F,SECONDARY,2293.0
Bungoma,2013,Male,S,4837.0
Lamu,2016,Male,SECONDARY,7758.0
Machakos,2015,FEMALE,primary,6793.0
Mombasa,2013,male,S,7638.0
Kitui,2019,F,P,7993.0
Embu,2021,Male,Secondary,6007.0
Kisumu,2017,F,Secondary,5542.0
Bomet,2020,FEMALE,S,9092.0
Mombasa,2019,Female,S,6356.0
Nakuru,2012,Female,S,8433.0
Kajiado,2012,FEMALE,S,7380.0
Laikipia,2010,F,primary,2385.0
Mandera,2011,Male,primary,4268.0
Kitui,2012,F,P,671.0
Homa Bay,2017,male,Secondary,163.0
Kisumu,2018,male,SECONDARY,8656.0
Mandera,2021,M,SECONDARY,4592.0
Kilifi,2016,FEMALE,P,4795.0
Trans Nzoia,2012,M,SECONDARY,4798.0
Mombasa,2012,male,Secondary,6036.0
West Pokot,2014,FEMALE,SECONDARY,2355.0
Bungoma,2012,F,P,5887.0
Tana River,2017,male,primary,7961.0
Mombasa,2019,F,Primary,5827.0
Embu,2012,F,P,8737.0
Samburu,2020,Female,P,4719.0
Trans Nzoia,2018,Male,primary,593.0
Embu,2014,M,S,4839.0
Lamu,2012,Female,primary,7394.0
Nairobi,2018,M,primary,9651.0
Lamu,2013,male,Secondary,3493.0
Migori,2016,FEMALE,Primary,6164.0
Machakos,2022,FEMALE,P,2672.0
Trans Nzoia,2011,male,Secondary,4200.0
Kiambu,2010,Male,primary,16.0
Narok,2021,FEMALE,primary,3191.0
Garissa,2021,M,primary,392.0
Mandera,2010,male,primary,
Kisumu,2021,FEMALE,Secondary,6272.0
Trans Nzoia,2012,male,SECONDARY,571.0
Busia,2020,male,Primary,3631.0
Narok,2016,Female,Primary,6172.0
Isiolo,2015,FEMALE,P,9312.0
Elgeyo Marakwet,2019,Female,Secondary,7177.0
Busia,2015,M,Primary,8433.0
Busia,2020,F,Primary,3897.0
Kitui,2017,male,S,8123.0
Kericho,2021,M,S,2279.0
Narok,2019,FEMALE,Primary,8980.0
Migori,2022,M,primary,7451.0
Embu,2020,M,S,8906.0
Wajir,2017,Male,P,775.0
Siaya,2014,FEMALE,S,6869.0
Trans Nzoia,2020,male,Primary,2247.0
Nyandarua,2010,FEMALE,S,7088.0
Narok,2022,F,Primary,78.0
Kiambu,2010,male,P,8080.0
Bomet,2018,Female,SECONDARY,7099.0
Tana River,2021,FEMALE,S,3926.0
Samburu,2011,Female,primary,9047.0
Mandera,2017,M,SECONDARY,
Trans Nzoia,2015,M,Secondary,7083.0
Mandera,2019,M,SECONDARY,6230.0
Meru,2011,FEMALE,SECONDARY,9223.0
Kitui,2022,male,SECONDARY,4940.0
Narok,2012,male,S,3271.0
Nyandarua,2011,Male,Primary,3456.0
Makueni,2013,M,primary,7788.0
Kilifi,2020,Male,Primary,8599.0
Lamu,2013,male,Primary,7650.0
Kitui,2018,FEMALE,S,2711.0
Trans Nzoia,2013,Female,Primary,1668.0
Kilifi,2013,FEMALE,Secondary,147.0
Nakuru,2022,male,P,6420.0
Taita Taveta,2010,male,Secondary,365.0
Marsabit,2015,male,P,9866.0
Elgeyo Marakwet,2022,Male,Primary,4531.0
Migori,2012,F,Primary,5330.0
Siaya,2016,M,primary,5510.0
Elgeyo Marakwet,2020,Male,SECONDARY,8754.0
Kilifi,2015,male,Primary,8964.0
Makueni,2010,F,SECONDARY,6493.0
Garissa,2013,Male,primary,5439.0
Wajir,two thousand twelve,male,Primary,9765.0
West Pokot,2013,Female,Primary,6511.0
Samburu,2022,F,Secondary,7504.0
Kitui,2017,FEMALE,Secondary,1246.0
Kericho,2010,M,SECONDARY,3839.0
Kilifi,2014,Female,Secondary,8551.0
Nyeri,2019,M,Secondary,2376.0
Trans Nzoia,2012,M,Secondary,3009.0
Nairobi,2016,M,P,9154.0
Isiolo,2019,F,S,1827.0
West Pokot,2017,F,P,6979.0
Kiambu,2019,Female,SECONDARY,9805.0
Embu,2020,Female,SECONDARY,9832.0
Nairobi,2011,F,Secondary,8569.0
Machakos,2022,Female,Primary,4285.0
Migori,2011,Female,SECONDARY,6910.0
Marsabit,2016,F,Primary,8561.0
Makueni,2021,FEMALE,SECONDARY,2196.0
Bomet,2022,FEMALE,SECONDARY,3747.0
Nyeri,2020,Female,S,8843.0
Kajiado,2018,FEMALE,Primary,5978.0
Kirinyaga,2020,Female,SECONDARY,5607.0
Turkana,2020,FEMALE,SECONDARY,769.0
Isiolo,2013,F,SECONDARY,780.0
Garissa,2013,Female,Secondary,9908.0
Tharaka-Nithi,2018,Male,SECONDARY,6303.0
Kisumu,2011,F,S,
Trans Nzoia,2022,F,P,9503.0
Busia,2021,FEMALE,SECONDARY,8714.0
Tharaka-Nithi,2011,F,P,521.0
Marsabit,2010,Male,SECONDARY,9127.0
Elgeyo Marakwet,2017,M,P,7569.0
Migori,2011,Male,S,5784.0
Busia,2011,FEMALE,Primary,4583.0
Turkana,2011,Female,SECONDARY,5946.0
Kitui,2014,FEMALE,Primary,4941.0
Vihiga,2020,FEMALE,Primary,6267.0
Mombasa,2016,Female,P,
Kajiado,2019,male,S,2461.0
Wajir,2018,F,SECONDARY,685.0
Kilifi,2021,M,Primary,2160.0
Nyandarua,2013,M,primary,7031.0
Bungoma,2020,M,P,9759.0
Murang'a,2014,F,Primary,5341.0
Lamu,2020,F,S,38.0
Elgeyo Marakwet,2021,FEMALE,Secondary,4875.0
Kiambu,2015,Female,Primary,1256.0
Kajiado,2015,male,S,7697.0
Bungoma,2012,FEMALE,P,2196.0
Samburu,2014,M,P,7165.0
Homa Bay,2013,male,SECONDARY,301.0
West Pokot,2020,Male,P,7527.0
Taita Taveta,2018,male,P,6381.0
Taita Taveta,2011,Male,Secondary,646.0
Samburu,2015,Male,S,9951.0
Trans Nzoia,2011,M,primary,8789.0
Trans Nzoia,2012,F,P,8853.0
Taita Taveta,2017,F,SECONDARY,4330.0
Mombasa,2014,FEMALE,SECONDARY,9560.0
Meru,2010,male,S,7003.0
Garissa,2015,male,Secondary,3537.0
Busia,2014,male,SECONDARY,4558.0
Elgeyo Marakwet,2011,Female,primary,6579.0
Wajir,2021,Male,Secondary,8474.0
Kajiado,2014,Female,S,9678.0
Kilifi,2018,FEMALE,SECONDARY,4082.0
Kisumu,2011,Female,SECONDARY,4183.0
Lamu,2015,male,S,8652.0
West Pokot,2021,Female,SECONDARY,3754.0
Kakamega,2022,M,primary,1724.0
Narok,2018,F,Primary,1376.0
Kirinyaga,2013,male,S,8706.0
Kisumu,2020,F,S,8894.0
Garissa,2012,FEMALE,primary,1653.0
Murang'a,2020,male,Primary,2066.0
Elgeyo Marakwet,2015,M,S,22.0
West Pokot,2018,male,Secondary,2460.0
Kakamega,2011,male,primary,5926.0
Machakos,2016,FEMALE,SECONDARY,6251.0
Isiolo,2019,FEMALE,Secondary,9496.0
Migori,2012,Male,SECONDARY,7295.0
Kiambu,2020,F,Primary,3300.0
Meru,2010,FEMALE,Primary,6279.0
Narok,2012,Female,SECONDARY,8553.0
Kajiado,2015,M,Primary,7353.0
Homa Bay,2022,Male,Secondary,3727.0
Turkana,2017,Female,P,6272.0
 ,2010,male,SECONDARY,5995.0
Trans Nzoia,2020,Male,Primary,9476.0
Garissa,2011,Male,S,514.0
Mandera,2013,FEMALE,SECONDARY,448.0
Narok,2011,M,primary,6019.0
Bomet,2020,F,SECONDARY,5343.0
Nyeri,2010,male,primary,8033.0
Samburu,2013,M,primary,2520.0
